method,file,original_size,compressed_size,conclusion,COEFF
ppm,2.txt,15406,5401,OK,0.3506
ppm,3.txt,15392,5394,OK,0.3504
ppm,test_1,13,23,OK,1.7692
ppm,test_2,13095,7145,OK,0.5456
ppm,test_3,226304,150743,OK,0.6661
ppm,test_4,0,8,OK,-
ppm,test_5,1000000,543,OK,0.0005
ppm,test_6,1000000,500,OK,0.0005
ppm,test_7.txt,1000000,4722,OK,0.0047
0.0534
