video           q    psnr	    speed	disp	 comment
source.avi           36.060-4	3.054	0.048	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           35.666-3	3.075	0.015	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.652-0	3.067	0.017	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.649-0	3.076	0.019	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.651-5	3.072	0.079	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.657-0	3.252	0.466	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.663-6	3.073	0.028	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.669-2	3.112	0.016	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.670-5	3.137	0.019	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.676-6	3.093	0.083	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.672-0	3.147	0.032	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.652-0	3.016	0.018	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           36.666-1	3.252	0.046	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.652-0	3.113	0.009	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.265-9	3.219	0.050	 av2*2 with vector disp in 3*3, x_init = av in 3*3, threshold = 40, mulityple opts
source.avi           37.342-2	2.707	0.230	 recover best
source.avi           37.342-2	2.739	0.153	 recover best
source.avi      0    37.342-2	2.412	0.122	 recover best
source.avi      0	 37.342-2	2.388	0.045	 recover best
source.avi      0    37.342-2	2.356	0.027	 recover best
source.avi      0    37.342-2	2.409	0.052	 recover best
source.avi      0    37.342-2	2.469	0.128	 recover best
source.avi      20   37.419-9	3.224	0.068	 best + vect disp
source.avi      30   37.418-4	3.239	0.040	 best + vect disp
source.avi      40   37.414-3	3.350	0.005	 best + vect disp
source.avi      50   37.408-4	3.295	0.022	 best + vect disp
source.avi      60   37.380-2	3.341	0.014	 best + vect disp
source.avi      40   37.415-8	3.290	0.068	 auto -> std::pair
source.avi      40   36.640-4	3.482	0.173	 best + preinit with V
source.avi      40   37.342-2	2.734	0.035	 best
source.avi      40   37.342-2	2.760	0.104	 rec
source.avi      40   37.342-2	2.771	0.0	 final sol
source.avi      40   37.342-2	2.510	0.0	 final sol
source.avi      40   37.342-2	3.004	0.0	 final sol
source.avi      40   37.342-2	2.397	0.0	 final sol
source.avi      40   37.342-2	3.315	0.0	 final sol
source.avi      40   37.342-2	2.839	0.0	 final sol
source.avi      40   30.633-4	4.728	0.0	 final sol
source.avi      40   37.342-2	2.339	0.0	 final sol
source.avi      40   30.633-4	4.507	0.0	 final sol
source.avi      40   37.342-2	3.026	0.0	 final sol
source.avi      40   31.231-3	4.641	0.0	 final sol
source.avi      40   37.342-2	2.850	0.0	 final sol
source.avi      40   28.125-5	4.599	0.0	 final sol
source.avi      40   37.342-2	3.307	0.0	 final sol
source.avi      40   33.098-1	8.388	0.0	 final sol
source.avi      40   37.342-2	2.811	0.0	 final sol
source.avi      40   33.508-8	7.306	0.0	 final sol
source.avi      40   37.342-2	2.902	0.0	 final sol
source.avi      40   33.508-8	8.077	0.0	 final sol
source.avi      40   37.342-2	2.935	0.0	 final sol
source.avi      40   37.342-2	2.490	0.0	 final sol
source.avi      40   37.342-2	2.593	0.0	 final sol
source.avi      40   37.342-2	2.318	0.0	 final sol
source.avi      40   37.342-2	2.929	0.0	 block size 1
source.avi      40   39.013-2	18.03	0.0	 block size 1
source.avi      40   39.013-2	16.98	0.242	 block size 1
source.avi      40   37.342-2	3.936	0.0	 prev
source.avi      40   36.982-4	43.47	0.0	 log 16
source.avi      40   36.984-4	50.85	0.0	 log 16
source.avi      40   35.843-8	3.827	0.554	 log 16
source.avi      40   35.615-9	2.617	0.0	 log 16
source.avi      40   37.635-1	4.473	0.0	 log 16
source.avi      40   36.815-9	2.984	0.0	 log 16
source.avi      40   36.815-9	2.701	0.0	 log 16
source.avi      40   36.810-0	2.838	0.0	 log 16
