method,file,original_size,compressed_size,conclusion,COEFF
ppm,test_1,13,24,OK,1.8462
ppm,test_2,13095,8735,OK,0.667
ppm,test_3,226304,158933,OK,0.7023
ppm,test_4,0,8,OK,-
ppm,test_5,1000000,546,OK,0.0005
ppm,test_6,1000000,502,OK,0.0005
ppm,test_7.txt,1000000,5162,OK,0.0052
0.0537
